id,EDANid,imageURL,thumbnail
01376,edanmdm:npg_S_NPG.2002.184.968,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_968,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_968/full/250,/0/default.jpg"
01377,edanmdm:npg_S_NPG.2002.184.967,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_967,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_967/full/250,/0/default.jpg"
01378,edanmdm:npg_S_NPG.2002.184.966,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_966,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_966/full/250,/0/default.jpg"
01379,edanmdm:npg_S_NPG.2002.184.965,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_965,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_965/full/250,/0/default.jpg"
01380,edanmdm:npg_S_NPG.2002.184.964,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_964,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_964/full/250,/0/default.jpg"
01381,edanmdm:npg_S_NPG.2002.184.963,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_963,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_963/full/250,/0/default.jpg"
01382,edanmdm:npg_S_NPG.2002.184.962,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_962,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_962/full/250,/0/default.jpg"
01383,edanmdm:npg_S_NPG.2002.184.961,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_961,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_961/full/250,/0/default.jpg"
01384,edanmdm:npg_S_NPG.2002.184.960,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_960,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_960/full/250,/0/default.jpg"
01385,edanmdm:npg_S_NPG.2002.184.96,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_96,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_96/full/250,/0/default.jpg"
